index,course number,course name
733,HE125,First Aid & Industrial Safety 
734,HE212,Women's Health 
735,HE213,Men's Health 
736,HE242,Stress and Human Health 
737,HE250,Personal Health 
738,HE251,Community/Public Health Issues 
739,HE252,First Aid - Basics and Beyond 
740,HE254,Weight Management and Health 
741,HE262,"Child Health,Nutrition,Safety "
742,HE264,"Health, Food & the Environment "
743,HE278,Human Health and Environment 
731,HE295,Health and Fitness for Life 
744,HE299D,Global Health 
303,HEC201,Family Partnerships 
304,HEC226,Child Development 
720,HIM105,Ancillary Information Analysis 
721,HIM107,Ancillary Info Analysis Lab 
722,HIM121,Legal/Ethical Aspects Hlthcare 
723,HIM129,A & P for Health Info Mgmt 2 
724,HIM141,Health Record Content Non-Acut 
725,HIM271,Quality Improv in Healthcare 
726,HIM273,ICD Diagnosis Coding 
727,HIM274,Quality Improvement HC Lab 
728,HIM282,Healthcare Statistics 
729,HIM285,HC Financing & Compliance 
763,HON101,Intro to Honors: Scholarly Inq 
793,HOR227,Plant Materials - Evergreens 
794,HOR290,Intro to Landscape Design 
795,HOR291,Landscape Design Process 
745,HST100,Introduction to History 
